score,max_tile,board_state
688,64,[1 2 4 1 3 1 5 3 2 5 6 2 1 4 2 1]
1428,128,[1 3 6 1 5 4 1 3 1 7 5 2 2 4 3 1]
1124,128,[2 1 4 1 1 2 5 2 5 7 3 1 3 1 4 2]
1340,128,[5 2 1 3 2 6 2 1 3 1 7 2 1 2 5 1]
640,64,[2 1 4 3 5 3 6 4 2 4 2 1 1 3 1 3]
1372,128,[1 3 2 1 5 7 5 3 1 2 6 2 3 1 3 1]
260,32,[1 2 1 3 4 1 3 1 2 3 5 4 1 2 3 2]
3020,256,[2 8 1 2 1 2 7 4 5 6 3 2 3 1 2 1]
784,64,[1 3 1 2 4 6 4 1 2 3 6 2 3 1 4 1]
1444,128,[1 3 2 1 5 4 5 2 2 6 4 7 1 4 1 2]
1304,128,[2 3 1 2 3 7 4 3 2 6 5 2 1 2 4 1]
1316,128,[4 2 4 1 1 4 7 2 4 6 3 4 2 1 2 1]
896,64,[2 3 1 2 3 5 6 4 2 6 3 2 1 2 4 1]
1464,128,[4 1 4 2 2 7 5 1 6 5 4 2 1 4 3 1]
1228,128,[1 4 1 2 3 7 2 4 1 4 6 3 2 3 2 1]
644,64,[1 2 4 2 3 1 2 4 2 4 6 5 1 2 4 3]
1248,128,[1 2 5 2 2 3 1 5 4 5 3 4 1 2 7 3]
296,32,[2 1 3 2 1 2 5 3 4 3 4 1 1 2 3 2]
740,64,[1 5 2 1 2 3 4 2 4 6 5 3 1 2 4 1]
624,64,[1 4 2 1 3 1 4 3 2 5 6 2 1 4 3 1]
1284,128,[2 3 1 4 7 1 3 1 2 3 6 3 1 2 5 2]
612,64,[1 4 1 2 2 5 2 3 4 6 3 2 3 1 4 1]
1128,128,[1 2 4 2 2 1 3 5 3 5 7 1 1 2 4 2]
600,64,[1 2 1 2 4 6 4 1 1 3 5 2 2 1 4 1]
1072,128,[2 3 2 1 3 5 3 2 4 2 7 4 2 4 3 1]
628,64,[1 2 4 1 2 4 5 3 1 2 3 6 2 4 1 2]
1328,128,[2 1 7 2 4 5 3 4 2 6 1 3 1 3 2 1]
1040,128,[1 3 4 1 2 5 3 2 4 1 7 3 1 3 2 1]
276,32,[3 1 4 3 1 5 3 2 2 1 2 4 1 3 1 2]
1416,128,[1 2 3 2 2 6 2 1 4 5 7 5 1 4 2 1]
780,64,[4 3 2 1 1 4 5 3 2 5 6 4 1 2 4 2]
640,64,[1 6 3 1 2 3 5 2 1 2 4 5 2 1 2 1]
1664,128,[1 2 6 1 3 7 4 2 4 2 5 3 2 6 4 1]
1256,128,[3 4 3 2 2 3 2 1 3 7 3 4 6 1 4 2]
332,32,[1 3 1 2 3 4 2 4 4 5 3 2 1 2 1 3]
732,64,[3 1 3 1 4 5 4 2 2 6 2 4 1 2 5 3]
564,64,[1 5 1 3 2 6 2 4 3 2 3 2 2 3 2 1]
1352,128,[2 7 1 2 4 2 4 1 3 5 3 6 1 2 4 2]
424,32,[1 2 3 2 3 4 5 3 1 5 3 1 2 3 4 3]
668,64,[1 2 3 2 2 1 4 1 3 5 3 5 2 1 6 2]
896,64,[3 1 3 1 2 6 4 2 4 5 6 1 1 2 3 2]
2388,256,[2 4 2 1 4 8 4 2 3 5 6 4 1 2 3 1]
1324,128,[1 2 3 1 2 6 5 3 3 2 7 4 2 4 2 1]
476,32,[1 2 5 1 2 5 2 4 3 4 1 2 2 5 2 1]
728,64,[2 3 1 3 4 6 5 1 2 3 4 3 1 2 5 2]
720,64,[1 2 4 2 2 5 6 3 3 4 3 5 2 1 2 1]
1932,256,[1 2 3 1 2 3 4 2 3 8 2 3 2 1 4 2]
1332,128,[2 1 3 2 4 2 6 4 2 3 1 5 1 7 3 1]
584,64,[1 2 1 2 4 3 5 1 2 4 6 3 1 2 3 1]
688,64,[3 5 3 1 4 6 2 3 1 2 5 2 4 1 2 1]
876,64,[1 2 6 1 5 1 4 2 1 3 6 3 2 4 2 1]
1128,128,[1 2 3 1 5 4 5 3 2 7 2 4 1 2 3 2]
1116,128,[1 2 4 2 3 5 7 4 5 1 2 1 1 2 1 2]
2052,128,[4 1 7 2 2 3 2 3 4 6 7 4 1 2 4 3]
756,64,[1 3 1 2 2 6 2 6 1 3 4 2 2 4 2 1]
2104,256,[1 3 2 1 2 4 3 5 4 8 5 1 1 3 1 2]
1100,128,[2 1 2 3 3 5 3 4 1 3 7 3 5 2 1 2]
1476,128,[1 3 4 2 5 6 2 3 3 7 5 4 1 2 4 1]
720,64,[2 1 4 3 3 4 3 1 2 3 5 6 1 5 1 3]
2284,256,[2 1 3 1 1 3 5 2 3 4 6 3 1 2 8 2]
1108,128,[2 4 2 1 3 2 5 3 4 7 4 2 1 4 1 3]
500,64,[2 3 1 2 4 6 3 1 3 4 1 2 2 3 4 1]
1740,128,[1 6 4 1 3 5 6 3 1 3 2 5 7 2 3 1]
1068,64,[4 6 2 1 1 4 5 4 3 6 4 2 2 5 3 1]
1568,128,[1 2 6 1 2 7 2 3 5 6 1 2 2 1 4 1]
1316,128,[1 3 2 1 2 7 5 3 6 1 4 2 1 4 2 1]
